item_number,duration,price AUD,cost_material AUD,price IDR,cost_material IDR
763,15.0,65.0,20,510000,153000
764,40.0,108.0,32,508500,152550
765,30.0,123.0,37,546000,163800
766,30.0,194.0,58,547500,164250
768,30.0,141.0,42,391500,117450
769,30.0,140.0,42,498000,149400
771,30.0,151.0,45,85500,25650
772,30.0,151.0,45,85500,25650
773,30.0,108.0,32,85500,25650
774,40.0,137.0,41,85500,25650
775,30.0,24.0,7,85500,25650
776,60.0,24.0,7,85500,25650
777,60.0,24.0,7,72000,21600
778,30.0,24.0,7,72000,21600
779,15.0,24.0,7,85500,25650
811,15.0,151.0,45,549000,164700
821,15.0,165.0,50,598500,179550
823,30.0,153.0,46,553500,166050
824,45.0,113.0,34,409500,122850
825,30.0,1025.0,308,2016000,604800
829,30.0,165.0,50,973500,292050
831,30.0,153.0,46,973500,292050
833,45.0,113.0,34,435000,130500
841,60.0,1664.0,499,988500,296550
842,60.0,268.0,80,946500,283950
843,60.0,125.0,38,453000,135900
845,60.0,174.0,52,616500,184950
846,60.0,170.0,51,616500,184950
851,60.0,261.0,78,0,0
862,60.0,81.0,24,301500,90450
871,60.0,174.0,52,735000,220500
872,60.0,170.0,51,352500,105750
873,60.0,73.0,22,264000,79200
874,60.0,81.0,24,475500,142650
875,15.0,143.0,43,520500,156150
876,40.0,97.0,29,532500,159750
877,30.0,158.0,47,574500,172350
878,30.0,131.0,39,468000,140400
881,30.0,143.0,43,4905000,1471500
911,60.0,147.0,44,73500,22050
915,60.0,158.0,47,109500,32850
916,30.0,129.0,39,109500,32850
926,30.0,451.0,135,148500,44550
927,30.0,20.0,6,73500,22050
928,60.0,152.0,46,552000,165600
941,60.0,30.0,9,93000,27900
942,60.0,376.0,113,4093500,1228050
943,60.0,295.0,89,1069500,320850
944,60.0,152.0,46,37500,11250
945,5.0,26.0,8,1069500,320850
948,60.0,376.0,113,45000,13500
949,60.0,295.0,89,37500,11250
961,60.0,134.0,40,486000,145800
963,5.0,295.0,89,213000,63900
964,60.0,177.0,53,289500,86850
965,60.0,168.0,50,609000,182700
966,15.0,74.0,22,267000,80100
967,45.0,125.0,38,454500,136350
968,30.0,80.0,24,319500,95850
971,30.0,168.0,50,39000,11700
972,15.0,76.0,23,276000,82800
981,30.0,125.0,38,607500,182250
982,15.0,107.0,32,390000,117000
983,15.0,67.0,20,487500,146250
984,15.0,134.0,40,487500,146250
985,30.0,71.0,21,256500,76950
986,30.0,71.0,21,256500,76950
987,30.0,67.0,20,73500,22050
990,45.0,134.0,40,73500,22050
999,30.0,0.0,0,0,0
1Dsy,30.0,96.0,29,283000,84900
